"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"820","43100548",15,15,15,46.6666666666667,35,65,30,15,40,56.6666666666667,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","43100739",15,15,15,22.5,15,30,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822","43101586",NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","43117917",15,15,15,23.3333333333333,20,30,10,10,10,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","43141643",40,40,40,35,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","43150064",NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","43152836",30,20,40,35,35,35,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","43159959",56.6666666666667,40,65,46.6666666666667,35,65,35,10,60,35,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","43164479",26.6666666666667,15,35,33.3333333333333,20,40,26.6666666666667,20,40,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","43203228",NA,NA,NA,15,15,15,NA,NA,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","43205365",12.5,10,15,45,35,65,27.5,15,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831","43221546",15,15,15,17.5,15,20,21.6666666666667,15,35,27.5,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","43251278",42.5,20,65,35,35,35,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","43259030",22.5,15,30,NA,NA,NA,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","43262338",17.5,15,20,35,30,40,37.5,35,40,25,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","43265078",13.75,10,15,26.6666666666667,20,40,25,15,35,20,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836","43268570",15,10,20,32.5,30,35,NA,NA,NA,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","43269156",15,15,15,40,40,40,NA,NA,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838","43275340",37.5,35,40,40,40,40,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839","43279706",27.5,15,40,35,35,35,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840","43285019",15,15,15,33.3333333333333,30,40,13.3333333333333,10,15,30,20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","43286202",30,30,30,40,40,40,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","43347982",40,35,45,21.6666666666667,10,35,35,20,65,46.6666666666667,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","4335238",35,35,35,20,20,20,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844","43380042",35,35,35,40,40,40,20,20,20,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845","43380718",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846","43381458",15,15,15,35,35,35,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847","43381830",15,15,15,60,60,60,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","43382433",15,15,15,NA,NA,NA,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849","43436157",20,20,20,53.3333333333333,30,65,16.6666666666667,15,20,30,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","43441449",NA,NA,NA,30,30,30,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","43447606",40,20,65,35,30,40,20,20,20,53.3333333333333,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","43455918",40,15,65,56.6666666666667,40,65,27.5,20,35,40,20,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853","43485410",40,40,40,NA,NA,NA,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","43489779",65,65,65,65,65,65,30,30,30,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855","43500072",63.3333333333333,60,65,54.3333333333333,40,63,21.6666666666667,15,30,52.5,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856","43510710",65,65,65,65,65,65,35,35,35,62.5,60,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857","43516112",15,15,15,33,20,40,17.5,15,20,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858","43524391",31.6666666666667,30,35,33.3333333333333,20,40,35,35,35,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859","43533488",NA,NA,NA,15,15,15,NA,NA,NA,40,15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860","43533978",20,10,40,36.6666666666667,30,40,17.5,15,20,25,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861","43534027",68.3333333333333,60,80,48.3333333333333,40,65,31.6666666666667,15,40,47.5,30,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862","43534342",18.3333333333333,10,30,21.6666666666667,15,35,23.3333333333333,15,40,41.6666666666667,30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","43535348",15,15,15,35,35,35,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","43536319",15,15,15,33.3333333333333,30,40,31.6666666666667,15,65,47.5,35,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","43536648",26.6666666666667,20,40,46.6666666666667,35,65,85,85,85,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","43542284",27.5,15,40,40,40,40,NA,NA,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","43558865",61.6666666666667,40,85,58.75,40,65,20,20,20,75,65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868","43558878",27.5,15,40,46.6666666666667,35,65,30,20,40,50,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","43563684",23.3333333333333,10,40,31.6666666666667,20,40,16.6666666666667,15,20,17.5,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870","43565062",23.3333333333333,15,40,53.3333333333333,35,65,36.6666666666667,35,40,50,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871","43565594",33.3333333333333,20,40,46.6666666666667,35,65,20,15,30,30,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","43566435",15,15,15,40,40,40,15,15,15,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","43567075",15,15,15,65,65,65,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","43570005",15,15,15,35,35,35,10,10,10,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875","43582831",NA,NA,NA,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876","43589509",48.3333333333333,20,65,38.3333333333333,35,40,13.3333333333333,10,15,48.3333333333333,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877","43590647",25,15,40,33.3333333333333,30,35,43.3333333333333,30,60,36.6666666666667,15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","43594778",27.5,15,40,NA,NA,NA,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","43595028",15,15,15,20,15,30,28.3333333333333,15,40,16.6666666666667,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880","43597042",15,15,15,NA,NA,NA,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
